variable,group,description
Name,Identifier,Plot identifier used to join field and predictor data.
SE2025_B01_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B02_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B03_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B04_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B05_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B06_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B07_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B08_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B09_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B10_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B11_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B12_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B13_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B14_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B15_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B16_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B17_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B18_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B19_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B20_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B21_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
SE2025_B22_mean,SE,AlphaEarth 2025 satellite-embedding band mean over the 15 m plot footprint.
